file_number,text,title,type
000001,"File: 000001 | Title: Hearing to consider release of reserved funds, Department of Children, Youth and Their families, (Fiscal Year 1999-2000 Budget), in the amount totaling $550,000, ($200,000 in Children’s Fund and $350,000 in General Funds), for the implementation of the School Based Health Pilot Program. | Name: Reserved Funds, Department of Children, Youth and Their Families | Type: Hearing | Status: Filed | Introduced: 2000-01-04 | Body: Finance and Labor Committee","Hearing to consider release of reserved funds, Department of Children, Youth and Their families, (Fiscal Year 1999-2000 Budget), in the amount totaling $550,000, ($200,000 in Children’s Fund and $350,000 in General Funds), for the implementation of the School Based Health Pilot Program.",Hearing
000638,File: 000638 | Title: Resolution adding one additional member to represent the Office of the District Attorney and who shall be appointed by the District Attorney to the Single Room Occupancy (SRO) Hotel Safety and Stabilization Task Force. | Name: Add District Attorney to the Single Room Occupancy (SRO)  Hotel Task Force | Type: Resolution | Status: Passed | Introduced: 2000-04-10 | Body: Board of Supervisors,Resolution adding one additional member to represent the Office of the District Attorney and who shall be appointed by the District Attorney to the Single Room Occupancy (SRO) Hotel Safety and Stabilization Task Force.,Resolution
000639,"File: 000639 | Title: Resolution accepting the offer of dedication for property adjacent to Panama Street right-of-way purposes, approving a map showing such area and declaring such area to be open public right-of-way, making General Plan and Priority Policy findings, and authorizing official acts in connection with this resolution. | Name: Accepting Dedication for Right-of-Way | Type: Resolution | Status: Passed | Introduced: 2000-04-10 | Body: Board of Supervisors","Resolution accepting the offer of dedication for property adjacent to Panama Street right-of-way purposes, approving a map showing such area and declaring such area to be open public right-of-way, making General Plan and Priority Policy findings, and authorizing official acts in connection with this resolution.",Resolution
000640,File: 000640 | Title: Resolution in support of safe routes to school funding application. | Name: Supporting the Safe Routes to School Project | Type: Resolution | Status: Passed | Introduced: 2000-04-10 | Body: Board of Supervisors,Resolution in support of safe routes to school funding application.,Resolution
000641,File: 000641 | Title: Resolution urging the Department of Recreation and Parks to place boxes in neighborhood parks for doggie bag repositories. | Name: Neighborhood Park Doggie Bag Repositories | Type: Resolution | Status: Passed | Introduced: 2000-04-10 | Body: Board of Supervisors,Resolution urging the Department of Recreation and Parks to place boxes in neighborhood parks for doggie bag repositories.,Resolution
000642,File: 000642 | Title: Resolution supporting the efforts of the Million Mom March to petition Congress to enact meaningful gun control legislation. | Name: Million Mom March | Type: Resolution | Status: Passed | Introduced: 2000-04-10 | Body: Board of Supervisors,Resolution supporting the efforts of the Million Mom March to petition Congress to enact meaningful gun control legislation.,Resolution
000643,"File: 000643 | Title: Resolution urging local small businesses to attend and participate in the ""Bay Area Small Business Fair 2000,"" a collaboration between local, state and federal agencies organized to provide free tax information to small businesses. | Name: Small Business Fair 2000 | Type: Resolution | Status: Passed | Introduced: 2000-04-10 | Body: Board of Supervisors","Resolution urging local small businesses to attend and participate in the ""Bay Area Small Business Fair 2000,"" a collaboration between local, state and federal agencies organized to provide free tax information to small businesses.",Resolution
000644,"File: 000644 | Title: Resolution accepting gifts valued at a total of $688,050.00 from various donors for use by the Recreation and Park Department. | Name: Acceptance and Expenditure of Gifts | Type: Resolution | Status: Passed | Introduced: 2000-04-10 | Body: Board of Supervisors","Resolution accepting gifts valued at a total of $688,050.00 from various donors for use by the Recreation and Park Department.",Resolution
000645,"File: 000645 | Title: Resolution supporting SB 2021, which would allow a tax credit of $500 for each employee placed on an alternative work schedule comprised of telecommuting, commuting during non-peak hours, flextime, and weekend workdays. | Name: State Legislation, SB 2021 | Type: Resolution | Status: Passed | Introduced: 2000-04-10 | Body: Board of Supervisors","Resolution supporting SB 2021, which would allow a tax credit of $500 for each employee placed on an alternative work schedule comprised of telecommuting, commuting during non-peak hours, flextime, and weekend workdays.",Resolution
000646,"File: 000646 | Title: Resolution urging the Department of Elections to perform a comprehensive, multilingual voter outreach campaign to inform voters of the new system of district elections and to ensure that every voter receives information regarding his or her district of residence. | Name: Voter Outreach | Type: Resolution | Status: Passed | Introduced: 2000-04-10 | Body: Board of Supervisors","Resolution urging the Department of Elections to perform a comprehensive, multilingual voter outreach campaign to inform voters of the new system of district elections and to ensure that every voter receives information regarding his or her district of residence.",Resolution
000647,"File: 000647 | Title: Resolution declaring April 18, 2000 as San Francisco History Day in honor of Gladys Hansen. | Name: Proclamation | Type: Resolution | Status: Passed | Introduced: 2000-04-10 | Body: Board of Supervisors","Resolution declaring April 18, 2000 as San Francisco History Day in honor of Gladys Hansen.",Resolution
000648,"File: 000648 | Title: Resolution proclaiming April 9 - April 15, 2000 the Week of the Young Child in recognition of the importance of children's earliest years in shaping their learning and development and the need to support early childhood programs and services. | Name: Proclamation | Type: Resolution | Status: Passed | Introduced: 2000-04-10 | Body: Board of Supervisors","Resolution proclaiming April 9 - April 15, 2000 the Week of the Young Child in recognition of the importance of children's earliest years in shaping their learning and development and the need to support early childhood programs and services.",Resolution
000649,File: 000649 | Title: Resolution commending Kenny Kwan for his outstanding contribution to the Chinatown community. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-04-10 | Body: Board of Supervisors,Resolution commending Kenny Kwan for his outstanding contribution to the Chinatown community.,Resolution
000650,"File: 000650 | Title: Resolution commending Bayview Hunters Point Community Beacon, Second Harvest, ConAgra, Inc. the San Francisco Food Bank, and the Department of Children, Youth and Families for their work in developing a Kids Café in San Francisco. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-04-10 | Body: Board of Supervisors","Resolution commending Bayview Hunters Point Community Beacon, Second Harvest, ConAgra, Inc. the San Francisco Food Bank, and the Department of Children, Youth and Families for their work in developing a Kids Café in San Francisco.",Resolution
000651,"File: 000651 | Title: Resolution commending Lesbian, Bisexual, Transgendered Women's Health Forum Steering Committee members and sponsors. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-04-10 | Body: Board of Supervisors","Resolution commending Lesbian, Bisexual, Transgendered Women's Health Forum Steering Committee members and sponsors.",Resolution
000652,File: 000652 | Title: Resolution commending the formation of the Animal Cancer Foundation. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-04-10 | Body: Board of Supervisors,Resolution commending the formation of the Animal Cancer Foundation.,Resolution
000653,"File: 000653 | Title: Resolution declaring April 19, 2000 ""Civic Day"" in the City and County of San Francisco. | Name: Proclamation | Type: Resolution | Status: Passed | Introduced: 2000-04-10 | Body: Board of Supervisors","Resolution declaring April 19, 2000 ""Civic Day"" in the City and County of San Francisco.",Resolution
000654,File: 000654 | Title: Resolution commending Rachel Borden Kramer and Anthony Lopez for their performances in the Writers Corps Youth Poetry Slam. | Name: Commendation | Type: Resolution | Status: Passed | Introduced: 2000-04-10 | Body: Board of Supervisors,Resolution commending Rachel Borden Kramer and Anthony Lopez for their performances in the Writers Corps Youth Poetry Slam.,Resolution
000655,File: 000655 | Title: Hearing to inquire into the recent federal audit of the San Francisco Housing Authority (SFHA). | Name: San Francisco Housing Authority Federal Audit | Type: Hearing | Status: Filed | Introduced: 2000-04-10 | Body: Clerk of the Board,Hearing to inquire into the recent federal audit of the San Francisco Housing Authority (SFHA).,Hearing
000656,File: 000656 | Title: Hearing to inquire into the recently released audit of the San Francisco Unified School District (SFUSD) and the feasibility of returning to a mission-based budget. | Name: San Francisco Unified School District Audit | Type: Hearing | Status: Filed | Introduced: 2000-04-10 | Body: Clerk of the Board,Hearing to inquire into the recently released audit of the San Francisco Unified School District (SFUSD) and the feasibility of returning to a mission-based budget.,Hearing
000657,"File: 000657 | Title: Hearing to consider the proposal of the State of California Department of Corrections (DOC) and the State Parole Office to relocate 75 staff members, including 40-50 armed parole agents, from One Holland Court to 1970 Caroll Avenue. | Name: State Department of Corrections and State Parole Office | Type: Resolution | Status: Filed | Introduced: 2000-04-10 | Body: Clerk of the Board","Hearing to consider the proposal of the State of California Department of Corrections (DOC) and the State Parole Office to relocate 75 staff members, including 40-50 armed parole agents, from One Holland Court to 1970 Caroll Avenue.",Resolution
000658,"File: 000658 | Title: Hearing to inquire into current proposals to improve services to the homeless through (1) implementing a ""mobile access team"" (2) providing shelter bed in lieu of cash welfare grants to homeless adults (3) constructing a 300 bed emergency shelter (4) creating a new facilities for homeless adults with mental disabilities. | Name: Proposals to improve services to the homeless | Type: Hearing | Status: Filed | Introduced: 2000-04-10 | Body: Clerk of the Board","Hearing to inquire into current proposals to improve services to the homeless through (1) implementing a ""mobile access team"" (2) providing shelter bed in lieu of cash welfare grants to homeless adults (3) constructing a 300 bed emergency shelter (4) creating a new facilities for homeless adults with mental disabilities.",Hearing
000659,"File: 000659 | Title: Hearing involving the San Francisco Redevelopment Agency, the Blackstone Group (new owners of the Rincon Center and Rincon Towers), and tenants of the Rincon Towers who are part of the Below Market Rate Program, to discuss the current situation at Rincon Towers between these groups, and the preservation of as many units as possible in the Below Market Rate Program. | Name: Rincon Center and Rincon Towers | Type: Hearing | Status: Filed | Introduced: 2000-04-10 | Body: Clerk of the Board","Hearing involving the San Francisco Redevelopment Agency, the Blackstone Group (new owners of the Rincon Center and Rincon Towers), and tenants of the Rincon Towers who are part of the Below Market Rate Program, to discuss the current situation at Rincon Towers between these groups, and the preservation of as many units as possible in the Below Market Rate Program.",Hearing
000660,File: 000660 | Title: Hearing to discuss the Department of Public Health's plans for implementing an ordinance authorizing the issuance of medical cannabis identification cards to individuals who qualify under California Health and Safety Code Section 11362.5 as users of medical cannabis or as primary caregivers to medical cannabis users. | Name: Medical Cannabis Identification Card Program | Type: Hearing | Status: Filed | Introduced: 2000-04-10 | Body: Clerk of the Board,Hearing to discuss the Department of Public Health's plans for implementing an ordinance authorizing the issuance of medical cannabis identification cards to individuals who qualify under California Health and Safety Code Section 11362.5 as users of medical cannabis or as primary caregivers to medical cannabis users.,Hearing
000661,File: 000661 | Title: Hearing on making available zero percent (0%) loans for qualifying San Francisco school teachers who are first time home buyers in the City. | Name: Zero Percent  Loans for School Teachers | Type: Hearing | Status: Filed | Introduced: 2000-04-10 | Body: Clerk of the Board,Hearing on making available zero percent (0%) loans for qualifying San Francisco school teachers who are first time home buyers in the City.,Hearing
000662,File: 000662 | Title: Motion extending time for negotiations pursuant to Charter Section 11.100. | Name: Extending Time for Negotiations - Employee Relations Division | Type: Motion | Status: Passed | Introduced: 2000-04-10 | Body: Board of Supervisors,Motion extending time for negotiations pursuant to Charter Section 11.100.,Motion
000663,"File: 000663 | Title: Resolution authorizing the Solid Waste Management Program to accept and expend a grant from the California Integrated Waste Management Board of up to $300,000.00 in the fiscal year 2000-2001 and continue to accept and expend recurring grant funding awarded annually for the purpose of increasing used motor oil recycling and household hazardous waste management. | Name: Grant funds for used motor oil recycling | Type: Resolution | Status: Passed | Introduced: 2000-04-17 | Body: Board of Supervisors","Resolution authorizing the Solid Waste Management Program to accept and expend a grant from the California Integrated Waste Management Board of up to $300,000.00 in the fiscal year 2000-2001 and continue to accept and expend recurring grant funding awarded annually for the purpose of increasing used motor oil recycling and household hazardous waste management.",Resolution
000664,"File: 000664 | Title: Resolution authorizing the Department of Public Health, Community Health Services, Office of Special Projects, to enter into a subcontract agreement in the amount of $214,582 to provide local Postexposure Prophylaxis data to the primary contractor, John Snow, Inc., which does not include intellectual property indemnification and false claims clauses; retroactive to April 1, 2000. | Name: Authorizing DPH to enter into a subcontract with John Snow, Inc. to collect data from individuals who have taken anti-HIV medications after non-occupational exposure | Type: Resolution | Status: Passed | Introduced: 2000-04-17 | Body: Board of Supervisors","Resolution authorizing the Department of Public Health, Community Health Services, Office of Special Projects, to enter into a subcontract agreement in the amount of $214,582 to provide local Postexposure Prophylaxis data to the primary contractor, John Snow, Inc., which does not include intellectual property indemnification and false claims clauses; retroactive to April 1, 2000.",Resolution
000665,"File: 000665 | Title: Motion approving final map of 1130 Mariposa Street, a Mixed-Use Condominium Project, being a subdivision of Lot 15, Assessor's Block No. 3986, and adopting findings pursuant to Planning Code Section 101.1. | Name: Final Map, a 23 unit mixed-use condominium project | Type: Motion | Status: Passed | Introduced: 2000-04-17 | Body: Board of Supervisors","Motion approving final map of 1130 Mariposa Street, a Mixed-Use Condominium Project, being a subdivision of Lot 15, Assessor's Block No. 3986, and adopting findings pursuant to Planning Code Section 101.1.",Motion
000666,"File: 000666 | Title: Motion approving final map of 11 Haight Street, a Residential Condominium project, being a subdivision of Lot 18, Assessor's Block No. 855, and adopting findings pursuant to Planning Code Section 101.1. | Name: Final Map, a 10 unit residential  condominium project | Type: Motion | Status: Passed | Introduced: 2000-04-17 | Body: Board of Supervisors","Motion approving final map of 11 Haight Street, a Residential Condominium project, being a subdivision of Lot 18, Assessor's Block No. 855, and adopting findings pursuant to Planning Code Section 101.1.",Motion
000667,"File: 000667 | Title: Resolution approving and authorizing the Mayor to enter into an agreement with the State of California for the acquisition of right of ways to certain portions of Route 101 (the former Central Freeway), located generally between Market Street and Turk Street pursuant to and consistent with the intent of SB798; adopting findings that such acquisition is consistent with the City’s General Plan and Eight Priority Policies of the Planning Code Section 101.1; and placing the property under the Department of Public Works’ jurisdiction. | Name: Transfer of California Department of Transportation Freeway Parcels to CCSF | Type: Resolution | Status: Passed | Introduced: 2000-04-17 | Body: Board of Supervisors","Resolution approving and authorizing the Mayor to enter into an agreement with the State of California for the acquisition of right of ways to certain portions of Route 101 (the former Central Freeway), located generally between Market Street and Turk Street pursuant to and consistent with the intent of SB798; adopting findings that such acquisition is consistent with the City’s General Plan and Eight Priority Policies of the Planning Code Section 101.1; and placing the property under the Department of Public Works’ jurisdiction.",Resolution
000668,"File: 000668 | Title: Ordinance authorizing settlement of litigation of City and County of San Francisco against WCB II More Limited Partnership for $2,930,852.98. | Name: Settlement of Lawsuit | Type: Ordinance | Status: Passed | Introduced: 2000-04-17 | Body: Board of Supervisors","Ordinance authorizing settlement of litigation of City and County of San Francisco against WCB II More Limited Partnership for $2,930,852.98.",Ordinance
000669,"File: 000669 | Title: Ordinance amending Article XIII of Chapter 10 of Part I of the San Francisco Municipal Code (Administrative Code) by adding Section 10.117-28, to create a Taxi Industry Account. | Name: Taxi Industry Account | Type: Ordinance | Status: Filed | Introduced: 2000-04-17 | Body: Clerk of the Board","Ordinance amending Article XIII of Chapter 10 of Part I of the San Francisco Municipal Code (Administrative Code) by adding Section 10.117-28, to create a Taxi Industry Account.",Ordinance
000670,"File: 000670 | Title: Resolution approving the Controller's certification that county jail food service management operations for the City and County of San Francisco can practically be performed by private contractor at a lower cost for the year commencing July 1, 2000, than if work were performed by City and County employees. | Name: Prop J, Contracting Out Jail Food Services | Type: Resolution | Status: Passed | Introduced: 2000-04-17 | Body: Board of Supervisors","Resolution approving the Controller's certification that county jail food service management operations for the City and County of San Francisco can practically be performed by private contractor at a lower cost for the year commencing July 1, 2000, than if work were performed by City and County employees.",Resolution
000671,"File: 000671 | Title: Resolution authorizing the Sheriff's Department to enter into a professional services agreement with George Bach-Y-Rita, M.D., which provides for indemnification of Dr. Bach-Y-Rita from compensatory damages for negligent formation of his professional opinion as to psychological suitability of applicants for employment as deputy sheriffs in San Francisco County. | Name: Professional services for evaluating the psychological suitability of applicants for deputy sheriff positions | Type: Resolution | Status: Filed | Introduced: 2000-04-17 | Body: Clerk of the Board","Resolution authorizing the Sheriff's Department to enter into a professional services agreement with George Bach-Y-Rita, M.D., which provides for indemnification of Dr. Bach-Y-Rita from compensatory damages for negligent formation of his professional opinion as to psychological suitability of applicants for employment as deputy sheriffs in San Francisco County.",Resolution
000672,"File: 000672 | Title: Resolution authorizing the Sheriff's Department to enter into an agreement with Mr. Ben Dorcy for mandatory certified CPR and first aid training, which agreement provides for mutual indemnification from claims or other damages which arise as a result of performance under said agreement. | Name: Professional services to provide State-mandated training for the Sheriff's Department | Type: Resolution | Status: Filed | Introduced: 2000-04-17 | Body: Clerk of the Board","Resolution authorizing the Sheriff's Department to enter into an agreement with Mr. Ben Dorcy for mandatory certified CPR and first aid training, which agreement provides for mutual indemnification from claims or other damages which arise as a result of performance under said agreement.",Resolution
000673,"File: 000673 | Title: Resolution approving the Controller's certification that the San Francisco Own Recognizance Project for the City and County of San Francisco can practically be performed by private contractor at a lower cost for the year commencing July 1, 2000, than if work were performed by City and County employees. | Name: Prop J, Contracting Out Own Recognizance Project | Type: Resolution | Status: Passed | Introduced: 2000-04-17 | Body: Board of Supervisors","Resolution approving the Controller's certification that the San Francisco Own Recognizance Project for the City and County of San Francisco can practically be performed by private contractor at a lower cost for the year commencing July 1, 2000, than if work were performed by City and County employees.",Resolution
000674,"File: 000674 | Title: Resolution approving the Controller's certification that the Pretrial Diversion Program for the City and County of San Francisco can practically be performed by private contractor at a lower cost for the year commencing July 1, 2000, than if work were performed by City and County employees. | Name: Prop J, Contracting Out Pretrial Diversion Program | Type: Resolution | Status: Passed | Introduced: 2000-04-17 | Body: Board of Supervisors","Resolution approving the Controller's certification that the Pretrial Diversion Program for the City and County of San Francisco can practically be performed by private contractor at a lower cost for the year commencing July 1, 2000, than if work were performed by City and County employees.",Resolution
000675,File: 000675 | Title: Resolution urging the United States Congress and Governor Gray Davis to restore funding amounts equal to projected loss of federal funding for Summer Youth Employment and Training Programs and urging the Board of Supervisors and Mayor of the City and County of San Francisco to identify additional funds to create a year-round youth employment collaborative. | Name: Youth Employment | Type: Resolution | Status: Passed | Introduced: 2000-04-10 | Body: Board of Supervisors,Resolution urging the United States Congress and Governor Gray Davis to restore funding amounts equal to projected loss of federal funding for Summer Youth Employment and Training Programs and urging the Board of Supervisors and Mayor of the City and County of San Francisco to identify additional funds to create a year-round youth employment collaborative.,Resolution
000676,"File: 000676 | Title: Resolution providing for the issuance of not to exceed $110,000,000 aggregate principal amount of City and County of San Francisco General Obligation Bonds (Neighborhood Recreation and Park Facilities Improvement Bonds, 2000), including the issuance of an initial series thereof in the aggregate principal amount of not to exceed $6,180,000 and designated as the City and County of San Francisco General Obligation Bonds (Neighborhood Recreation and Park Facilities Improvement Bonds, 2000), Series 2000C; authorizing the execution, authentication and registration of said Bonds; providing for the levy of a tax to pay the principal and interest thereof; providing for the appointment of depositories and other agents for said Bonds; providing for the establishment of accounts related thereto; ratifying certain actions previously taken; and granting general authority to City officials to take necessary actions in connection with the authorization, issuance, sale and delivery of said Bonds. | Name: Neighborhood Park General Obligation Bond Issuance | Type: Resolution | Status: Passed | Introduced: 2000-04-17 | Body: Board of Supervisors","Resolution providing for the issuance of not to exceed $110,000,000 aggregate principal amount of City and County of San Francisco General Obligation Bonds (Neighborhood Recreation and Park Facilities Improvement Bonds, 2000), including the issuance of an initial series thereof in the aggregate principal amount of not to exceed $6,180,000 and designated as the City and County of San Francisco General Obligation Bonds (Neighborhood Recreation and Park Facilities Improvement Bonds, 2000), Series 2000C; authorizing the execution, authentication and registration of said Bonds; providing for the levy of a tax to pay the principal and interest thereof; providing for the appointment of depositories and other agents for said Bonds; providing for the establishment of accounts related thereto; ratifying certain actions previously taken; and granting general authority to City officials to take necessary actions in connection with the authorization, issuance, sale and delivery of said Bonds.",Resolution
000677,"File: 000677 | Title: Resolution authorizing and directing the sale of not to exceed $29,605,000 City and County of San Francisco General Obligation Bonds (Educational Facilities Bonds, 1997 - Community College District), Series 2000A; prescribing the form and terms of said Bonds; authorizing the execution, authentication and registration of said Bonds; providing for the appointment of depositories and other agents for said Bonds; providing for the establishment of accounts related thereto; approving the forms of official notice of sale and notice of intention to sell Bonds; directing the publication of the notice of intention to sell Bonds; approving the form and execution of the official statement relating thereto; approving the form of the continuing disclosure certificate; approving modifications to documents; ratifying certain actions previously taken; and granting general authority to City officials to take necessary actions in connection with the authorization, issuance, sale and delivery of said Bonds. | Name: Community College General Obligation Bond Sale | Type: Resolution | Status: Passed | Introduced: 2000-04-17 | Body: Board of Supervisors","Resolution authorizing and directing the sale of not to exceed $29,605,000 City and County of San Francisco General Obligation Bonds (Educational Facilities Bonds, 1997 - Community College District), Series 2000A; prescribing the form and terms of said Bonds; authorizing the execution, authentication and registration of said Bonds; providing for the appointment of depositories and other agents for said Bonds; providing for the establishment of accounts related thereto; approving the forms of official notice of sale and notice of intention to sell Bonds; directing the publication of the notice of intention to sell Bonds; approving the form and execution of the official statement relating thereto; approving the form of the continuing disclosure certificate; approving modifications to documents; ratifying certain actions previously taken; and granting general authority to City officials to take necessary actions in connection with the authorization, issuance, sale and delivery of said Bonds.",Resolution
000678,"File: 000678 | Title: Resolution authorizing and directing the sale of not to exceed $17,440,000 City and County of San Francisco General Obligation Bonds (Zoo Facilities Bonds, 1997), Series 2000B; prescribing the form and terms of said Bonds; authorizing the execution, authentication and registration of said Bonds; providing for the appointment of depositories and other agents for said Bonds; providing for the establishment of accounts related thereto; approving the forms of official notice of sale and notice of intention to sell Bonds; directing the publication of the notice of intention to sell Bonds; approving the form and execution of the official statement relating thereto; approving the form of the continuing disclosure certificate; approving modifications to documents; ratifying certain actions previously taken; and granting general authority to City officials to take necessary actions in connection with the authorization, issuance, sale and delivery of said Bonds. | Name: Zoo General Obligation Bond Sale | Type: Resolution | Status: Passed | Introduced: 2000-04-17 | Body: Board of Supervisors","Resolution authorizing and directing the sale of not to exceed $17,440,000 City and County of San Francisco General Obligation Bonds (Zoo Facilities Bonds, 1997), Series 2000B; prescribing the form and terms of said Bonds; authorizing the execution, authentication and registration of said Bonds; providing for the appointment of depositories and other agents for said Bonds; providing for the establishment of accounts related thereto; approving the forms of official notice of sale and notice of intention to sell Bonds; directing the publication of the notice of intention to sell Bonds; approving the form and execution of the official statement relating thereto; approving the form of the continuing disclosure certificate; approving modifications to documents; ratifying certain actions previously taken; and granting general authority to City officials to take necessary actions in connection with the authorization, issuance, sale and delivery of said Bonds.",Resolution
000679,"File: 000679 | Title: Resolution authorizing and directing the sale of not to exceed $6,180,000 City and County of San Francisco General Obligation Bonds (Neighborhood Recreation and Park Facilities Improvement Bonds, 2000), Series 2000C; prescribing the form and terms of said Bonds; authorizing the execution, authentication and registration of said Bonds; providing for the appointment of depositories and other agents for said Bonds; providing for the establishment of accounts related thereto; approving the forms of official notice of sale and notice of intention to sell Bonds; directing the publication of the notice of intention to sell Bonds; approving the form and execution of the official statement relating thereto; approving the form of the continuing disclosure certificate; approving the modifications to documents; ratifying certain actions previously taken; and granting general authority to City officials to take necessary actions in connection with the authorization, issuance, sale and delivery of said Bonds. | Name: Neighborhood Park General Obligation Bond Sale | Type: Resolution | Status: Passed | Introduced: 2000-04-17 | Body: Board of Supervisors","Resolution authorizing and directing the sale of not to exceed $6,180,000 City and County of San Francisco General Obligation Bonds (Neighborhood Recreation and Park Facilities Improvement Bonds, 2000), Series 2000C; prescribing the form and terms of said Bonds; authorizing the execution, authentication and registration of said Bonds; providing for the appointment of depositories and other agents for said Bonds; providing for the establishment of accounts related thereto; approving the forms of official notice of sale and notice of intention to sell Bonds; directing the publication of the notice of intention to sell Bonds; approving the form and execution of the official statement relating thereto; approving the form of the continuing disclosure certificate; approving the modifications to documents; ratifying certain actions previously taken; and granting general authority to City officials to take necessary actions in connection with the authorization, issuance, sale and delivery of said Bonds.",Resolution
000680,"File: 000680 | Title: Ordinance approving the issuance of Lease Revenue Bonds of the Parking Authority of the City and County of San Francisco; approving the execution and delivery of a project lease between the Authority, as lessor and the City, as lessee (including certain indemnification provisions therein); approving the form and circulation of an official statement relating to said Bonds; authorizing the payment of certain costs of issuance from the proceeds of such Bonds; correcting legal title to the property; ratifying previous actions taken in connection with the foregoing matters; and authorizing the taking of appropriate actions in connection therewith. | Name: Parking Authority Lease Revenue Bonds - North Beach Parking Garage Project | Type: Ordinance | Status: Passed | Introduced: 2000-04-17 | Body: Board of Supervisors","Ordinance approving the issuance of Lease Revenue Bonds of the Parking Authority of the City and County of San Francisco; approving the execution and delivery of a project lease between the Authority, as lessor and the City, as lessee (including certain indemnification provisions therein); approving the form and circulation of an official statement relating to said Bonds; authorizing the payment of certain costs of issuance from the proceeds of such Bonds; correcting legal title to the property; ratifying previous actions taken in connection with the foregoing matters; and authorizing the taking of appropriate actions in connection therewith.",Ordinance
000681,"File: 000681 | Title: Ordinance authorizing settlement of the lawsuit filed by San Franciscans for Sensible Government, San Franciscans for Sensible Government Political Action Committee, and Kathleen Harrington against the City and County of San Francisco and Louise Renne in her official capacity as City Attorney to enjoin application of the $500 contribution limits to committees that make only independent expenditures; the lawsuit was filed on May 24, 1999 in the United States District Court for the Northern District of California, Case No. C99-2456 CW; entitled San Franciscans for Sensible Government, et al. v. City and County of San Francisco, et al.; the material terms of said agreement are that the City will not enforce current Section 16.508 of the Campaign Finance Reform Ordinance with respect to contributions to committees that make only independent expenditures, that the plaintiffs waive attorney fees and costs and each party bears its own attorney fees and costs, and that the judgment entered by stipulation of the parties will not have preclusive effect in litigation over any future legislation adopted by the City and County of San Francisco. | Name: Settlement of Lawsuit | Type: Ordinance | Status: Passed | Introduced: 2000-04-17 | Body: Board of Supervisors","Ordinance authorizing settlement of the lawsuit filed by San Franciscans for Sensible Government, San Franciscans for Sensible Government Political Action Committee, and Kathleen Harrington against the City and County of San Francisco and Louise Renne in her official capacity as City Attorney to enjoin application of the $500 contribution limits to committees that make only independent expenditures; the lawsuit was filed on May 24, 1999 in the United States District Court for the Northern District of California, Case No. C99-2456 CW; entitled San Franciscans for Sensible Government, et al. v. City and County of San Francisco, et al.; the material terms of said agreement are that the City will not enforce current Section 16.508 of the Campaign Finance Reform Ordinance with respect to contributions to committees that make only independent expenditures, that the plaintiffs waive attorney fees and costs and each party bears its own attorney fees and costs, and that the judgment entered by stipulation of the parties will not have preclusive effect in litigation over any future legislation adopted by the City and County of San Francisco.",Ordinance
000682,"File: 000682 | Title: Ordinance authorizing settlement of the lawsuit filed by Clinton Reilly, Clinton Reilly for Mayor and Fred A. Rodriguez, against the City and County of San Francisco and Louise Renne in her official capacity as City Attorney to enjoin variable contribution limit in the Campaign Finance Reform Ordinance; the lawsuit was filed on September 29, 1999 in the United States District Court for the Northern District of California, Case No. C99-4395 CW; entitled Clinton Reilly, et al., v. City and County of San Francisco, et al.; the material terms of said settlement are that the parties will abide by the decision in California Prolife Council Political Action Committee v. Jan Scully, No. CIV.2-96-1965/LKK (E.D. Cal.) on the constitutionality of the variable contribution limits enacted by the State of California, that pending the final decision in Scully the preliminary injunction entered Reilly v. Renne will remain in effect, that the plaintiffs waive attorney fees and costs and each party bears its own attorney fees and costs, and that the judgment entered by stipulation of the parties will not have preclusive effect in any future litigation. | Name: Settlement of Lawsuit | Type: Ordinance | Status: Passed | Introduced: 2000-04-17 | Body: Board of Supervisors","Ordinance authorizing settlement of the lawsuit filed by Clinton Reilly, Clinton Reilly for Mayor and Fred A. Rodriguez, against the City and County of San Francisco and Louise Renne in her official capacity as City Attorney to enjoin variable contribution limit in the Campaign Finance Reform Ordinance; the lawsuit was filed on September 29, 1999 in the United States District Court for the Northern District of California, Case No. C99-4395 CW; entitled Clinton Reilly, et al., v. City and County of San Francisco, et al.; the material terms of said settlement are that the parties will abide by the decision in California Prolife Council Political Action Committee v. Jan Scully, No. CIV.2-96-1965/LKK (E.D. Cal.) on the constitutionality of the variable contribution limits enacted by the State of California, that pending the final decision in Scully the preliminary injunction entered Reilly v. Renne will remain in effect, that the plaintiffs waive attorney fees and costs and each party bears its own attorney fees and costs, and that the judgment entered by stipulation of the parties will not have preclusive effect in any future litigation.",Ordinance
000683,"File: 000683 | Title: Petitions and Communications received from April 6 through noon on April 12, for reference by the President to the Committee considering related matters or to be ordered filed by the Clerk on April 17, 2000.

From various city departments, regarding services provided to the homeless population in San Francisco.  Copy: Supervisor Newsom   (1)
Arts Commission, (Reference No. 20000306-010);
Fine Arts Museums, (Reference No. 20000306-055);
Law Library, (Reference No. 20000306-047);
From Commission on the Aging,  (Reference No. 20000306-019). 

From Patricia Vaughey, filing notice of appeal for 2361 Lombard Street from action of City Planning Commission. File 000577, Scheduled for Public Hearing April 24, 2000. (2)

